NAMA,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KARBO (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA (mg),SENG (mg),RETINOL (mcg),BKAR (mcg),KARTOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VITC (mg),BDD (%)
Telur ayam ras ,74.3,154,12.4,10.8,0.7,0,0.8,86,258,3,142,118.5,0.16,1,61,22,104,0.12,0.38,0.2,0,89
"Telur ayam ras bagian
 kuning ",49.4,355,16.3,31.9,0.7,0,1.7,147,586,7.2,111,107.5,0.2,2.5,606,63,,0.27,0.51,0.2,0,100
Telur Ayam ras bagian putih ,87.8,50,10.8,0,0.8,0,0.6,6,17,0.2,164,138.5,0.03,0.4,0,0,,0,0.26,0.4,0,100
Telur bebek alabio,70,187,11.8,14.2,3,0,1,60,268,6,115,80,0.6,1.7,180,437,,1.55,0.37,0.1,,90
Telur bebek bagian kuning ,47,386,17,35,0.8,0,0.2,150,400,7,106,90.7,0.09,2.5,870,747,,0.6,0.68,1.4,0,100
Telur bebek bagian putih ,88,54,11,0,0.8,0,0.2,21,20,0.1,184,150.2,0.13,0.1,0,0,,0.01,0.02,0.1,0,100
Telur bebek tambak,67.7,187,10.9,12.4,7.9,0,1.1,64,295,5.4,209,146,0.4,1.8,378,471,375,1.62,0.03,0.1,,90
Telur burung maleo,36,436,26.5,36.3,0.4,0,0.8,154,120,4.3,77,333,0.4,2.9,3987,,,,1,0.2,,
Telur penyu ,7.4,136,8.6,10.1,2.7,0,1.2,66,282,3.4,478,115,0.5,1.4,82,17,,0.21,0.02,0,0,90
Telur burung puyuh,79.8,116,10.7,7,1.6,0,0.9,65,191,3.5,111,11,0.05,1.2,95,80,,0.13,0.65,0.1,0,100
Telur ayam dadar masakan,61.9,251,16.3,19.4,1.4,0,1,62,250,2.5,,,,,36,,221,0.21,0,,0,100
Telur bebek asin mentah,66.5,179,13.6,13.3,4.4,0,2.2,120,157,1.8,483,140.1,,,253,13,,0.28,0.98,0.6,0,83
Telur bebek dadar masakan,55.1,301,20,23.7,0,0,1.2,71,600,9.2,,,,,122,,613,0.35,,,0,100
Ikan telur asin mentah,37.8,358,20.7,26.4,9.4,0,5.7,48,311,15.1,2684,59,0.4,3,1866,0,,0.21,0.54,2.1,,100
Bayau mi balu masakan,36.1,313,6,12.2,44.8,0,0.9,,,,,,,,783,89,,0.14,0.27,9.7,,100
Cucuru bayau masakan,35,349,6.8,18.7,38.3,0,1.2,,,,,,,,,123,,0.06,0.25,0,,100
Kalio telur masakan,79,193,10.6,12.4,9.7,0,1.4,148,246,3.8,540,,,,160,,3600,0.44,,,0,100
Kepala susu  krim,72.5,204,2.6,20,4,0,0.9,97,77,0.1,,,,,252,191,,0.03,0.2,0.1,1,100
Susu ibu  ASI,88.1,62,1.5,3.2,7,0,0.2,34,20,0.2,15,41,0.01,0.4,,7,,0.01,0.03,0.2,,100
Susu kambing ,85.9,64,4.3,2.3,6.6,0,0.9,98,78,2.7,35,160,0.33,0.1,38,0,,0.06,0.45,0.3,1,100
Susu kerbau ,73.8,160,6.3,12,7.1,0,0.8,216,101,0.2,82,,,0.3,24,,,0.04,0.07,,1,100
Susu kuda ,91,40,2,1.1,5.4,0,0.4,,,,,37.4,0,0,,1,,0,0.2,0.2,,100
Susu sapi ,88.3,61,3.2,3.5,4.3,0,0.7,143,60,1.7,36,149,0.02,0.3,39,12,,0.03,0.18,0.2,1,100
Es krim,62.1,210,4,12.5,20.6,0,0.8,123,99,0.1,78,193.4,0,0.7,158,0,,0.04,0.23,0.1,1,100
Hangop,84,65,10,1,3.5,0,1.5,180,190,0.2,126,374.4,0,,,22,,0.03,0.43,0.2,,100
Keju,38.5,326,22.8,20.3,13.1,0,5.3,777,338,1.5,1410,82.7,0.03,3.1,227,128,,0.01,0.37,0.1,1,100
Kwark (Quark),59,242,19,17,3,0,2,300,350,0.5,37,72.7,0.01,0.2,173,0,,0.03,0.38,0,,100
Susu asam untuk bayi bubuk,2.5,418,19,9,65.5,0,4,800,600,7,188,486.5,0,0,303,83,,1,1.31,0.7,30,100
Susu bubuk,3.5,513,24.6,30,36.2,0,5.7,904,694,0.6,380,1330,0.02,4.1,476,118,,0.29,1.39,1.6,6,100
Susu kental manis,25,343,8.2,10,55,0,1.8,275,209,0.2,150,320,0.02,1,155,46,,0.05,0.43,0.4,1,100
Susu kental tak manis,73.7,138,7,7.9,9.9,0,1.5,243,195,0.2,140,303,,,121,,,0.05,,0,1,100
Susu skim bubuk,3.5,359,35.6,1,52,0,7.9,1300,1030,0.6,470,1745,0.04,4.1,,10,,0.35,01.05,1.2,7,100
Susu skim ,90.5,36,3.5,0.1,5.1,0,0.8,123,97,0.1,38,,,,0,,,0.04,,,1,100
Yoghurt ,88,52,3.3,2.5,4,0,2.2,120,90,0.1,40,299,0.01,0.6,22,10,,0.04,0.1,0.2,0,100
Kelapa setengah tua daging ,70,180,4,15,10,2.4,1,8,55,1.3,4,317.7,0.3,2.9,,0,10,0.1,0.01,0.1,4,53
Kelapa tua daging,46.9,359,3.4,34.7,14,4.7,1,21,98,2,3,293.9,0.4,1.1,0,0,,0.1,0,0,2,53
Lemak babi (lard),0,902,0,100,0,0,0,0,0,0,0,0,9,0.1,0,0,,0,0,0,0,100
Lemak babi (bacon),20,626,9.1,65,1.1,0,4.8,13,108,0.8,0,0,0,0.9,0,0,,0.4,0,0,0,100
Lemak ikan,43.3,372,12,29.4,14.4,0,0.3,20,230,32.7,60,52,0.4,1.1,,,,0.5,0.13,,,100
Lemak kerbau (lemak sapi),5,818,1.5,90,0,0,3.5,0,0,0,29,25.8,0,0,0,283,,0,0,0.7,0,100
Minyak hiu hati,0,902,0,100,0,0,0,0,0,0,0,0,0,0,21212,0,,0,0,0,0,100
Minyak ikan,0,902,0,100,0,0,0,0,0,0,0,0,0,0,24242,0,,0,0,0,0,100
Minyak kacang tanah,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,100
Minyak kedelai,0.1,883,0,99.9,0,0,0,0,0,0,0,0.1,0,0,0,0,,0,0,0,0,100
Minyak kelapa,0,870,1,98,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,100
Minyak kelapa sawit,0,884,0,100,0,0,0,0,0,0,0,0,0,0,,18181,,0,0,0,0,100
Minyak wijen,0.1,881,0.2,99.7,0,0,0,10,5,0.1,2,20,0,0,0,0,,0,0.07,0.1,0,100
Minyak zaitun,0,884,0,100,0,0,0,14,0,1.2,7,0,0,0,,0,,0,0,5,,100
Margarin,15.5,720,0.6,81,0.4,0,2.5,20,16,0,760,25.9,0,0,606,633,,0,0,0,0,100
Mentega,16,742,0.5,81.6,1.4,0,1.9,15,16,1.1,653,103,0,0.4,1000,155,,0,0.1,0,,100
Santan (dengan air),80,122,2,10,7.6,1.4,0.4,25,30,0.1,9,162.4,0.2,0.4,0,,,0,0,0.5,2,100
Santan murni,54.9,324,4.2,34.3,5.6,0,1,14,45,1.9,18,514.1,0.4,0.9,0,0,,0,0,0.5,2,100
Coklat manis batang,1.4,527,2,29.8,62.7,6.5,4.1,63,287,2.8,6,499.5,0,0,,,30,0.03,0.02,0,0,100
Coklat pahitbatang,2.3,615,5.5,42.6,29.2,10.8,10.1,98,446,4.4,20,708.3,1.7,3.3,,2,60,0.05,0.08,1,0,100
Coklat susu batang,1,565,9,35,53.6,3.4,1.4,200,200,2,100,405.5,0.49,2.3,,54,30,0.08,0.45,0.5,0,100
Coklat bubuk,3.9,311,8,4,48.9,32.6,15.4,125,715,11.6,,,,,,,30,0.12,,0.6,,
Gula aren,7,368,0,0,92,0,1,75,35,3,15,390.4,0.04,"26.
 4",0,0,,0,0.01,0.5,0,100
Gula kelapa,10,386,3,10,76,0,1,76,37,2.6,2,0,0,0,0,0,,0,0.34,0.5,0,100
Gula putih,5.4,394,0,0,94,0,0.6,5,1,0.1,1,4.75,0,0,0,0,,0,0,0,0,100
Jam selai,34,239,0.5,0.6,64.5,1,0.4,20,20,1,30,73.1,0.09,0,0,0,,0.01,0.07,0,0,100
Kopi bubuk instant,2.6,129,12.3,0.5,35,0,9.7,179,383,5.6,72,3256,0.14,0,,0,0,0,0.21,"30.
 6",0,100
Madu,20,294,0.3,0,79.5,0.2,0.2,5,16,0.9,6,26.9,0.04,0.2,0,0,,0,0.04,0.1,4,100
Markisa squash,46.7,217,2.5,1,49.6,0,0.2,6,83,0.6,14,65,0,0.1,,23,75,0.07,0.02,0,14,
Markisa squash BD,74.4,104,1.2,0.5,23.7,0,0.2,1,88,0.5,40,40,0,0.1,,7,40,0.2,0.02,0,12,
Melase,21.2,276,0,0.1,71,0,7.7,6,83,0.6,14,,0,0.3,0,0,,0.04,,,0,100
Sirup,44,213,0,0,55,0,1,0,0,0,3,4.2,,,,0,,0,0,0,,100
Sirup pirous,43.3,228,0.2,0.4,55.9,0,0.2,470,93,29.5,3,4.2,,,,0,0,0,0,0,8,
Teh hijau daun kering,7.7,300,28.3,4.8,53.6,9.6,5.6,245,415,18.9,60,5873.9,0.5,0,,8400,,0.38,1.24,4.6,"23
 0",100
Teh hitam daun kering,8,293,24.5,2.8,58.8,8.7,5.9,327,313,24.3,50,5854.8,0,0,0,2700,,0.07,0.8,7.6,9,100
"Teh melati daun
 kering",8.1,299,24.1,3.5,59,9.7,5.3,320,185,31.6,70,5848.4,0.53,0,0,8400,,0.07,0.79,7.3,85,100
Asam arang coklat,66.1,130,0.5,1.1,30.9,1.5,1.4,79,113,4.3,13,,0,,,745,0,0.01,0.2,0,0,
Asam arang merah,75.9,99,0.8,1.6,20.3,2.8,1.4,69,300,4.6,2,96,0,0.1,,529,0,0.01,0.34,1.6,0,
Asan kandis kering,32.2,261,0.9,1.6,63.3,5,2,192,657,4.4,26,341,0.4,0.3,,0,0,0,0,0.4,0,100
Asam kandis ,81.5,75,0.2,1.1,16.1,3.4,1.1,63,139,2.5,93,93,0.1,0.1,,41,0,0.01,0,0.1,0,
Asam masak pohon,31.4,267,2.8,0.6,62.5,1.2,2.7,74,113,0.6,9,139,0.09,0.1,,9,30,0.34,0.04,0.7,2,48
Asam payak ,65.1,135,0.8,0.4,32.1,10,1.6,60,39,5.7,0,,,,,,0,0,,,0,
Bawang merah ,88,46,1.5,0.3,9.2,1.7,1,36,40,0.8,7,179,0.06,0.2,,2,,0.03,0.04,0.2,2,90
Bawang putih ,71,112,4.5,0.2,23.1,0.6,1.8,42,134,1,46,666,0.09,0.4,,0,,0.22,0.07,0.3,15,88
Boros kunci ,90,40,1,0.8,7.2,1,1,50,50,2,33,480,0.02,0.3,,0,5000,0.08,0.68,1.7,50,80
Boros laja (lengkuas),93,26,1,0.3,4.7,1.1,1,50,50,2,24,137,0.07,0.3,,5,5000,0.08,0.06,0.3,50,80
"Cabai gembor merah
 ",90.8,38,1.6,0.8,6.3,1.6,0.6,49,41,1.1,7,275,0.12,0.2,,5897,3240,0.21,0.12,0,16,89
Cabai hijau ,93.4,26,0.7,0.3,5.2,2.6,0.4,14,23,0.4,7,151,0.08,0.2,,44,260,0.05,0.06,0.4,84,82
Cabai merah kering,10,367,15.9,6.2,61.8,26.9,6.1,160,370,2.3,25,181.5,1.2,1.8,,"1095
 5",576,0.4,1.36,4.4,50,85
Cabai merah ,90.9,36,1,0.3,7.3,1.4,0.5,29,24,0.5,23,272.4,0.12,0.2,,5833,470,0.05,0.09,3,18,85
Cabai rawit ,71.2,120,4.7,2.4,19.9,15.2,1.8,45,85,2.5,34,706.2,0.29,0.6,,1694,"1105
 0",0.24,0.09,1.7,70,85
Cengkeh kering,23.3,330,5.2,8.9,57.4,10,5.2,740,100,4.9,282,961,0.3,0,,265,,"200.
 00",0,0,,100
Daun salam bubuk,13.1,301,14.2,10.9,49,9.4,12.8,86,250,44.1,180,619,1.31,0.7,0,5400,,0.1,0.32,5,0,100
Jahe ,55,51,1.5,1,10.1,12,1.2,21,39,1.6,12,441.7,0.48,0.7,,0,9,0.02,0.17,3.3,4,97
Kemiri,7,675,19,63,8,3,3,80,200,2,25,430.7,0.23,0.8,,0,0,0.06,0.06,0.4,0,100
Ketumbar kering,11.2,418,14.1,16.1,54.2,12.3,4.4,630,370,17.9,91,1787,0.95,4.6,,75,1570,0.2,0.35,1.8,0,100
Kluwek,51,310,10,24,13.5,0,1.5,40,100,2,,,,,,,0,0.15,,,30,80
Kunyit ,84.9,69,2,2.7,9.1,0.6,1.3,24,78,3.3,6,406.7,0.05,0.4,,12,,0.03,0.02,0.4,1,78
Merica kering,12.9,365,11.5,6.8,64.4,1,4.4,460,200,16.4,4,99.7,0.89,1.1,,0,,0.2,0.1,2.5,,100
Pala biji kering,14.3,518,7.5,36.4,40.1,3.5,1.7,120,240,4.6,2,78.7,0.94,2,,7,,0.2,0.02,0.5,0,95
Balichong,59.9,152,13.2,0.8,22.9,1.5,3.6,380,210,2.9,120,310,0.8,1.1,34,0,,0.01,0.08,0.2,,
Bekasam,65.5,116,11.9,4.9,6.1,3.5,11.6,704,757,7.5,711,176,0.8,1.9,,0,,0,0.03,2.1,,
Bekasang,67.1,78,11.4,2,3.6,0.4,15.9,54,97,2.6,4016,121,0.2,4.8,,,,0.15,0.12,0.6,,
Cuka,94.5,21,0.1,0.1,5,0,0.3,7,10,0.5,21,37.8,0,0,,0,,0.24,0,0.7,,100
Kecap,63,71,5.7,1.3,9,0,21,123,96,5.7,1114,,0.04,,0,,,0,,,0,100
Petis ikan,56,165,20,0.2,20.8,0,3,37,36,2.8,,,,,,,0,0.01,0.2,0.8,0,100
Petis udang kering,8.3,345,23.8,1.4,59.3,0,7.1,221,397,3.8,"1199
 8",462.8,0.75,1.9,,0,232,01.02,0.4,2.2,0,100
Petis udang pasta,39,220,15,0.9,38,2.3,7.1,37,36,2.8,7981,307.9,0.5,1.3,,0,0,0.01,0.13,1.7,0,100
Saos tomat,69.5,110,2,0.4,24.5,0.9,3.6,12,18,0.8,890,129.6,0.18,0.3,,357,570,0.09,0.06,1.7,11,100
Tempoya,70.1,110,1.7,1.3,21.9,2.6,5,190,45,2.9,597,486.3,,,,71,,0.3,0.04,1.1,0,100
Terasi,33.8,155,22.3,2.9,9.9,2.7,31.1,3812,726,78.5,1664,821.4,0.99,2.4,,0,0,0.24,0,3.3,0,100
Terasi dobo,58.4,191,33.1,3.6,6.6,1.6,11.5,2250,1130,22.9,650,1260,2.9,5,,0,,3.74,0.22,2,,100
Terasi merah,40,174,30,3.5,5.6,2.2,20.4,100,150,3.1,7850,302.8,0.49,1.2,,0,0,0,0.12,1.7,0,100
Kelapa muda air,95.5,17,0.2,0.1,3.8,0,0.4,15,8,0.2,1,149,0.04,0.1,0,0,,0,0,0,1,100
Roti putih,40,248,8,1.2,50,9.1,0.8,10,95,1.5,530,91,0.15,0.9,0,0,0,0.1,0.29,2.4,0,100
Jagung muda rebus,53.2,142,5,0.7,30.3,0.8,0.8,5,105,0.8,5,24.3,0.2,0.9,,145,225,0.15,0,0.7,0,100
Ketan hitam matang,56.9,181,4,1.2,37.3,0.3,0.6,9,144,1.7,9,18.4,0.1,0.7,0,0,0,0.06,0,0.5,0,100
Biskuit,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,241,20.3,0.16,0.6,0,14,,0.09,0.15,1.4,0,100
Bakpia kue,38.9,272,8.7,6.7,44.1,0.9,1.6,194,117,4.5,,,,,,,1392,0.31,1,2.9,0,100
Bakwan,40.5,280,8.2,10.2,39,3.4,2.1,204,79,7,,,,,0,,0,0.08,,,0,100
Martabak india,65.8,153,4.5,4.2,24.3,0,1.2,14,108,2.4,240,112,0.4,0.5,,,,,,,,100
Mie ayam,78.6,102,6.2,3.9,10.5,0,0.8,262,51,1.8,279,,,,39,,166,0.85,,0,0,100
Mie bakso,74.5,114,5.3,3,16.4,0.1,0.8,286,53,1.9,760,,,,17,,180,0.16,,,0,100
Keripik singkong,4.2,478,0.9,20.7,72,2,2.2,189,101,1.9,,,,,0,0,0,0.24,,,0,100
Kacang tanah goreng,2.5,564,25.5,44.4,25.5,2.8,2.8,106,390,4.1,,,,,,,,0.4,,,,100
Sapi abon,7.1,212,18,10.6,59.3,7.5,4.7,150,209,12.3,,,,,0,240,138,0.17,,,0,100
Sapi daging kornet,53,289,16,25,0,0,6,10,170,4,794,94.4,0.07,4,0,52,,0.01,0.16,2.7,0,100
Ayam goreng kentucky dada,46.5,298,34.2,16.8,0.1,0,2.5,90,284,5.5,741,342,0.07,1,36,,50,0.19,0,0,0,100
Bayam rebus,93.5,23,1.2,0.6,3.7,1.1,1,150,35,0.5,16,308.4,0.2,0.3,0,3282,2864,0.02,0.1,0.9,19,100
Ikan bandeng presto masakan,45.3,296,17.1,20.3,11.3,0,6,1422,659,1.9,,,,,6,0,400,0.14,,,69,100
Sardines dalam kaleng,47.1,338,21.1,27,1,0,3.8,354,434,3.5,,,,,76,0,,0.1,,,0,
Telur ayam dadar masakan,61.9,251,16.3,19.4,1.4,0,1,62,250,2.5,,,,,36,,221,0.21,0,,0,100
Kecap,63,71,5.7,1.3,9,0,21,123,96,5.7,1114,,0.04,,0,,,0,,,0,100
