Name,Water(g),Energy(g),Protein(g),Fat(g),Carbohydrate(mg),Fiber(mg),Ash(mg),Calcium(CA)(mg),Phospor(P)(mg),Iron(Fe)(mg),Sodium(Na)(mg),Pottasium(Ka)(mg),Copper(Cu)(mg),Zinc(Zn)(mg),Retinol(vit.A)(mcg),?-carotene(mcg),Carotene(Total)(mcg),Thiamin(vit.B1)(mcg),Riboflavin(vit.B2)(mg),Niacin(mg),Vitamin_C(mg),Eaten%,Raw_Processed,Group
Yummy chips,4,446,2.8,14.5,76,1.7,2.8,147,52,1.9,-,-,-,-,-,-,-,0.95,-,-,-,100,Processed,Bulbs
Potato chips,7.8,448,2.7,18.8,67.1,3.8,3.6,25,130,1.2,712,406,1.1,-,-,15,-,0.1,0.05,2.8,-,100,Processed,Bulbs
Cassava chips,4.2,478,0.9,20.7,72,2,2.2,189,101,1.9,-,-,-,-,-,-,-,0.24,-,-,-,100,Processed,Bulbs
Seasoned cassava chips,2.2,481,2.2,19.7,73.6,1.6,2.3,156,103,1.6,-,-,-,-,-,-,80,0.31,-,-,-,100,Processed,Bulbs
Sweet Potato Chips,6,486,0.2,23.9,67.6,14.3,2.3,68,92,0.9,52,2,0.7,2.3,-,920,-,0.1,0.1,0.5,-,100,Processed,Bulbs
Fried squid crackers,3.4,444,6.9,14.6,71.3,5,3.8,47,375,1.8,837,191,0.1,0.3,-,-,-,0.4,0.1,1.8,-,100,Processed,Bulbs
Raw Kemplang (fish) crackers,14.2,325,1.8,0.4,78.5,4.5,5.1,59,268,2.3,"1,123",273,0.2,0.5,32,-,-,0.6,0.1,2.3,-,100,Processed,Bulbs
Fried kemplang crackers,5.8,504,5.6,28.1,57.1,0.3,3.4,50,94,2.9,-,-,-,-,6,-,280,0.31,-,-,-,100,Processed,Bulbs
Roasted kemplang crackers,9.4,356,9.7,1.1,76.9,1,3,62,129,2.9,-,-,-,-,7,-,280,0.36,-,-,-,100,Processed,Bulbs
Fried yellow noodle crackers,7.2,476,0.1,21.1,71.3,4.2,0.3,57,36,4.6,-,109,0.1,0.2,-,-,333,0.22,-,0.9,-,100,Processed,Bulbs
Fried shrimp crackers,4.4,477,4.7,20.5,68.5,5,1.9,24,188,0.9,449,109,0.1,0.2,-,-,-,0.2,-,0.9,-,100,Processed,Bulbs
Bake cake,16.1,338,1.5,1.2,80.3,-,0.9,34,35,0.3,67,-,0.2,0.2,-,-,-,0.3,-,-,-,100,Processed,Bulbs
Cassava putu cake,44.2,217,1.2,0.5,53.2,2.4,0.9,48,68,1.5,3,305,-,-,-,-,-,0.1,0.1,0.8,-,100,Processed,Bulbs
Lanting getuk,4.2,422,0.9,10.8,80.4,1.4,3.8,206,104,3.6,-,-,-,-,-,-,-,0.43,-,-,-,100,Processed,Bulbs
Golosor noodles,82.9,71,0.2,0.8,15.9,0.1,0.2,117,5,0.2,-,-,-,-,-,-,112,0.05,0.02,-,-,100,Processed,Bulbs
Bendo Noodle,11.5,353,0.3,-,88,2.4,0.2,28,14,2.8,9,49.2,0.5,0.1,-,"2,000",-,0.02,-,0.1,0.2,100,Processed,Bulbs
Sago Noodles,52.8,190,0.2,0.4,46.5,1.4,0.1,8,7,0.3,10,2.6,0.1,-,-,"2,000",-,-,0.4,-,0.2,100,Processed,Bulbs
Sago ongols,75.3,111,0.3,2.7,21.2,0.3,0.5,79,15,1.7,-,-,-,-,-,-,-,0.06,-,-,-,100,Processed,Bulbs
Oyek,12.6,351,0.9,0.9,84.9,4.3,0.7,60,36,2.1,5,229,0.1,0.5,-,-,-,0.02,0.02,0.5,0.2,100,Processed,Bulbs
Papeda,84.8,61,0.2,0.1,14.9,0.5,0.1,3,1,0.2,4,20,0.1,0.1,-,-,-,0.06,-,-,-,100,Processed,Bulbs
Rasbi (Sweet Potato Rice),11.1,394,2.2,8.8,76.6,6.8,1.3,68,76,1.6,165,388,0.4,0.4,-,-,-,0.02,0.3,1.2,0.2,100,Processed,Bulbs
Rasi (Cassava Rice),12.6,350,0.9,0.4,85.7,14.4,0.5,42,21,1.5,8,14,0.3,0.5,-,-,-,0.02,0.02,0.4,0.2,100,Processed,Bulbs
Sago Forno,31.5,291,0.5,4,63.4,-,0.6,10,20,0.8,40,50,0.1,0.2,-,-,-,-,-,-,-,100,Processed,Bulbs
Fat Sago (Sagon Cake),4.3,452,2.8,14.8,76.8,1.1,0.7,15,39,1.1,182,52.7,0.04,0.8,-,"1,220",-,0.32,0.04,0.1,0.2,100,Processed,Bulbs
Sweet Sago,32.6,287,0.5,3.9,62.4,-,0.6,8,17,0.7,34,42,0.1,0.2,-,-,-,-,-,-,-,100,Processed,Bulbs
Rendang Sago,8.2,364,0.1,0.2,90.5,1.9,1,13,9,3.9,42,15.1,0.1,0.1,-,-,-,0.02,0.6,0.8,0.2,100,Processed,Bulbs
Sinole sago,22,354,0.8,8.3,68.9,-,0.1,10,30,0.8,30,11,0.2,0.3,-,-,-,-,-,-,-,100,Processed,Bulbs
Serimping taro kebumen,4.8,478,2.5,21.2,69.2,1.7,2.3,112,118,2.3,-,-,-,-,-,-,-,0.25,-,-,-,100,Processed,Bulbs
Cassava Tapai,57.4,169,1.4,0.3,40.2,2,0.7,21,34,0.8,-,-,-,-,-,-,-,-,-,-,9,100,Processed,Bulbs
Arrowroot Flour,13.6,355,0.7,0.2,85.2,0.4,0.3,8,22,1.5,2,10.7,-,0.1,-,20,3,0.09,-,-,-,100,Processed,Bulbs
Ganyong Flour,13.6,353,0.8,1.7,83.6,0.7,0.3,4,31,3.3,3,63.5,0.1,0.3,-,-,-,0.02,-,0.9,1,100,Processed,Bulbs
Gaplek Flour,13,345,2.4,0.4,83.1,6.7,1.1,18,95,1.5,6,55,0.4,1.2,-,"1,000",-,0.3,0.2,0.1,0.2,100,Processed,Bulbs
"Potato flour, dry",13,347,0.3,0.1,85.6,0.4,1,20,30,0.5,51,156.3,0.2,0.5,-,-,-,0.04,-,0.4,-,100,Processed,Bulbs
Mocaf Flour,11.9,350,1.2,0.6,85,6,1.3,60,64,15.8,8,403,0.1,0.6,-,-,-,0.02,0.02,0.7,2,100,Processed,Bulbs
Sente Flour,15.3,326,4,0.4,76.7,8.5,3.6,41,141,3.5,14,"1,602.00",0.4,1.4,-,-,-,0.02,0.2,7.7,0.2,100,Processed,Bulbs
Cassava flour / Tapioca,9.1,363,1.1,0.5,88.2,0.9,1.1,84,125,1,1,7.1,-,0.1,-,-,-,0.04,-,0.4,-,100,Processed,Bulbs
Beneng Taro Flour,12.2,332,5.7,0.6,76.1,12.2,5.5,59,302,10.7,7,"1,404.00",0.8,6.2,-,0.2,-,0.02,0.1,0.3,0.2,100,Processed,Bulbs
Purple Sweet Potato Flour,9.4,354,2.8,0.6,84.4,12.9,2.8,89,125,3.9,42,940,0.8,0.6,-,-,-,0.4,0.02,-,0.2,100,Processed,Bulbs
Tiwul,11.2,353,2.4,1.1,83.4,6.5,1.6,55,95,4.7,5,670,0.2,0.8,-,-,-,0.02,0.02,0.1,3,100,Processed,Bulbs
Instant Tiwul,9.1,395,3.2,8.5,76.5,4.2,2.7,81,81,5.8,377,469,2.1,1.2,-,-,-,0.4,0.2,0.2,4,100,Processed,Bulbs
Cilembu Sweet Potato,52.7,186,1.9,0.2,44.3,3.4,0.9,37,51,0.6,62,61.9,0.1,0.2,-,"26,000",-,0.02,0.2,-,0.3,90,Processed,Bulbs
Uli batatas,66.5,150,1.1,4,27.4,-,1,-,23,0.1,6,112,0.1,0.2,-,-,-,0.53,-,1.3,-,100,Processed,Bulbs
"Arrowroot, fresh",73.5,102,1,0.2,24.1,1.7,1.2,28,35,1.7,36,626.6,0.2,0.8,-,15,-,0.06,0.1,2.3,2,100,Single,Bulbs
"Lesser yam (Batatas gembili), fresh",76.7,76,1.1,0.9,16,4.2,0.7,-,40,0.2,10,200,0.2,0.3,-,-,-,0.06,-,0.9,-,85,Single,Bulbs
"Yam, batatas kelapa, fresh",76.1,89,1.1,0.1,21,4,0.7,-,40,0.2,20,340,0.1,0.2,-,-,-,0.38,-,0.9,-,85,Single,Bulbs
"Taro, belitung, steamed",63.1,145,1.2,0.4,34.2,1.5,1.1,26,54,1.4,6,536.1,0.2,0.9,-,-,-,0.1,0.1,2.3,2,85,Single,Bulbs
"Yam bean, fresh",85.1,59,1.4,0.2,12.8,1,0.5,15,18,0.6,2,244.3,0.1,0.3,-,-,-,0.04,0.1,0.2,20,84,Single,Bulbs
"Taro, bentul, fresh",75.8,98,1.6,0.7,20.9,0.7,1.8,44,66,1.5,-,195.5,0.2,0.6,-,-,-,0.02,0.1,0.8,-,86,Single,Bulbs
"Asiatic bitter yam, fresh",20.2,322,2.4,0.6,76.6,-,0.2,39,22,2.2,5,2,0.5,0.2,-,-,-,0.45,0.02,1,-,100,Single,Bulbs
"Achera, fresh",74.4,100,0.9,0.3,23.5,2.1,0.9,79,66,0.9,8,687.2,0.2,0.2,-,-,-,0.23,-,0.5,2,85,Single,Bulbs
"Lesser yam (Ganyong), fresh",79.9,77,0.6,0.2,18.4,0.8,0.9,15,67,1,-,-,-,-,-,-,-,0.1,-,-,9,65,Single,Bulbs
"Yam, hofa, fresh",66.4,131,1.1,0.2,31.3,1.1,1,14,56,0.6,10,200,0.2,0.3,-,-,-,0.08,-,0.9,4,85,Single,Bulbs
"Lesser yam (Hofa), fresh",67.9,127,1.2,0.5,29.5,3.4,0.9,30,8,0.7,3,4,0.1,0.2,-,-,-,0.3,0.05,0.6,-,85,Single,Bulbs
"Potato Kaburan, fresh",66.5,133,1,0.2,32.2,0.7,0.5,65,50,0.6,10,899.2,0.2,0.2,-,-,-,0.01,-,0.3,-,81,Single,Bulbs
"Potatoes, fresh",83.4,62,2.1,0.2,13.5,0.5,0.8,63,58,0.7,7,396,0.4,0.3,-,-,-,0.09,0.1,1,21,85,Single,Bulbs
"Madagascar potato (Black potatoes), fresh",64,142,0.9,0.4,33.7,5.4,1,34,75,0.2,22,890.3,0.9,0.6,-,-,-,0.02,0.1,2.2,38,75,Single,Bulbs
"Cassava, sweet potato, fresh",67,137,1.3,1.1,29.8,0.6,0.8,45,56,0.8,10,885.8,0.2,0.3,-,-,-,-,-,0.7,-,83,Single,Bulbs
"Cassava (Giant taro), fresh",61.4,154,1,0.3,36.8,0.9,0.5,77,24,1.1,2,394,0.3,0.4,-,-,-,0.06,0.1,0.5,31,85,Single,Bulbs
Lepok / Sweet potato grass,55.3,181,2.8,1.2,39.8,10.7,0.9,7,50,3.1,116,306,1.6,0.9,-,-,-,0.28,0.05,1.5,-,85,Single,Bulbs
"Palm sugar, dried",11.9,355,0.6,1.1,85.6,0.3,0.8,91,167,2.2,2,200,-,0.3,-,-,-,0.04,0.1,0.5,-,100,Single,Bulbs
"Palm sugar, fresh",42.5,231,0.6,0.2,56.6,3.2,0.1,20,20,0.1,7,-,0.1,0.1,-,-,-,0.2,-,-,-,100,Single,Bulbs
Fresh kasbi sago,42.5,230,0.6,0.2,56.5,3,0.2,20,1,0.3,100,410,0.1,0.2,-,-,-,0.1,-,-,-,100,Single,Bulbs
Sago Plate,13.5,347,0.9,0.3,85.2,4.7,0.1,30,30,0.2,11,-,0.1,0.1,-,-,-,0.3,-,-,-,100,Single,Bulbs
"Cassava sago, dried",12,362,0.5,0.3,86.9,-,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Single,Bulbs
"Sente, taro, fresh",14,353,0.7,0.2,84.7,6.6,0.4,11,13,1.5,30,694.6,0.6,2.2,-,41,-,0.05,0.2,2.8,5,86,Single,Bulbs
"Suweg, taro, fresh",80.1,74,1.4,0.1,17.2,1.4,1.2,42,46,1.3,7,400,0.1,0.1,-,24,254,0.04,-,0.4,2,86,Single,Bulbs
"Bogor Taro, fresh",72.4,108,1.4,0.4,25,0.9,0.8,47,67,0.7,10,448,0.2,0.7,-,-,-,0.06,0.07,1,4,85,Single,Bulbs
"Pontianak taro, fresh",60,163,2.3,0.5,36.4,0.7,0.9,45,80,1.7,14,323.1,0.3,1,-,-,-,0.02,0.1,1.3,-,83,Single,Bulbs
"Viqueque taro, fresh",70.6,115,1.8,0.5,25.9,8.6,1.2,50,220,0.9,1,70,0.3,1,-,-,-,0.08,0.1,0.9,-,85,Single,Bulbs
"Sweet potatoes, yellow, fresh",72.6,119,0.5,0.4,25.1,4.2,1,30,40,0.4,3,1,0.1,0.2,-,794,"4,948",0.06,0.07,0.7,-,85,Single,Bulbs
"Sweet potatoes, fresh",78.4,83,1.5,0.2,18.8,0.6,1.1,27,162,2.1,52,320.7,0.1,0.3,-,-,-,0.02,-,0.4,-,85,Single,Bulbs
"Red sweet potato, raw",61.9,151,1.6,0.3,35.4,0.7,0.6,29,74,0.7,92,565.6,0.3,0.5,-,-,"1,208",0.13,0.08,0.7,11,86,Single,Bulbs
"Sweet potatoes, white, fresh",77.8,88,0.4,0.4,20.6,4,0.8,30,10,0.5,2,4,0.1,0.2,-,13,264,0.25,0.06,0.5,36,86,Single,Bulbs
"Sweet potatoes, ink, fresh",72.5,108,0.5,0.4,25.6,4.2,1,30,40,0.5,1,1,0.1,0.2,-,13,-,0.09,0.06,0.6,24,85,Single,Bulbs
"Uwi bulbs, fresh",69.7,120,2.8,0.5,82.3,2.6,0.9,9,42,1.3,412,412,0.3,0.6,-,-,-,0.02,0.5,0.2,4,86,Single,Bulbs
"Starfruit (winged bean), boiled",55.6,204,16.9,8.8,17.5,4.8,1.2,230,180,3.3,43,"1,098.00",3.24,2.3,-,-,-,0.2,0.48,0.7,-,100,Processed,Beans
"Bogor beans, fried",3,479,12.7,23.2,58.9,1.2,2.2,135,184,2.9,-,-,-,-,-,-,-,0.25,0.45,4.1,-,35,Processed,Beans
"Bogor beans, boiled",61.2,161,7.7,2.8,27.1,2,1.2,56,134,1.4,-,-,-,-,-,-,-,0.1,-,-,-,35,Processed,Beans
"Gude beans, boiled",61.5,147,9,0.5,27.5,3.4,1.5,50,175,2,14,"1,126.00",0.8,2.7,-,12,-,0.1,0.07,13.2,-,100,Processed,Beans
"Green beans, boiled",71.3,109,8.7,0.5,18.3,1.5,1.2,95,149,1.5,447,657.8,1.4,2.8,-,18,120,0.12,0.04,0.4,3,100,Processed,Beans
"Soybeans, fried",9.6,521,32.2,37.7,22.9,7.6,3.7,296,800,6.5,"3,492","11,890.00",26.3,60,-,-,20,0.4,1.9,19,-,100,Processed,Beans
"Soybeans, boiled",56.8,189,20.2,8.2,12.7,1.6,2.1,91,270,3.9,181,615,1.3,3.7,-,4,15,0.2,0.04,0.5,-,100,Processed,Beans
"Dried red beans, boiled",59.6,158,10.3,0.9,28.2,2.6,1,160,149,3.7,6,311,0.27,1.5,-,-,-,0.2,0.09,0.8,-,100,Processed,Beans
"Fresh red beans, boiled",63.1,144,10,1,24.7,3.5,1.2,144,150,2.8,6,311,0.27,1.5,-,-,-,0.1,0.08,0.7,-,100,Processed,Beans
"Cashew nuts, fried",1,629,20.4,56.3,19.8,1.1,2.5,502,493,8,13,641.7,4.7,5.4,-,5,-,0.37,0.22,1.8,-,100,Processed,Beans
Boiled peanuts with skin,40.2,360,13.5,31.2,12.8,-,2.3,42,177,1.4,32,483,1.6,2,-,-,-,0.44,0.13,9,5,43,Processed,Beans
"Peanuts, fried",2.5,564,25.5,44.4,25.5,2.8,2.8,106,390,4.1,-,-,-,-,-,-,-,0.4,-,-,-,100,Processed,Beans
"Peanuts, boil",62.1,220,10.6,18,8,1,1.3,89,273,1.9,36,536.2,1.78,2.2,-,-,-,0.1,-,-,-,100,Processed,Beans
"Tolo beans / cowpea, boiled",64.4,138,10.7,1.1,22.6,0.9,1.2,165,172,4,13,6.7,0.8,6.1,-,-,-,0.01,0.17,3.2,-,100,Processed,Beans
Green bean dregs,70.6,96,3.7,0.6,19.1,2.7,0.6,133,150,1.3,-,-,-,-,-,-,-,0.05,-,-,-,100,Processed,Beans
"Tofu waste, raw",84.1,67,5,2.1,8.1,4.1,0.6,460,88,1,8,184.5,0.17,0.5,-,-,-,0.06,0.02,0.1,-,100,Processed,Beans
Steamed tofu pulp,82.5,75,4.1,2.1,10.7,5.1,0.6,203,60,1.3,-,-,-,-,-,-,-,0.07,-,-,-,100,Processed,Beans
"Tofu waste, dry",9,414,26.6,18.3,41.3,-,5.8,19,29,4,45,"1,055.70",0.99,2.8,-,-,-,0.2,0.1,0.5,-,100,Processed,Beans
Pepes oncom pulp tofu,80.9,76,5.2,1.8,10.6,2.2,1.5,215,66,12.5,-,-,-,-,-,-,268,0.11,-,-,-,100,Processed,Beans
Pie rubber seeds,12,333,29.3,3.3,50,-,29.4,102,660,12,-,-,-,-,-,-,-,0.1,-,-,-,100,Processed,Beans
Peanut meal,14,336,37.4,13,30.5,-,33.1,730,470,30.7,-,-,-,-,-,-,-,0.04,-,-,-,100,Processed,Beans
Coconut cake,16,368,23,15,40,-,38,137,433,41.5,-,-,-,-,-,-,-,-,0.46,8.9,-,100,Processed,Beans
Banjarmasin dodol,17.3,368,2.6,8.6,70,0.5,1.5,51,180,3.3,48,96,0.4,2.6,-,-,-,0.04,0.07,2.3,-,100,Processed,Beans
Emping (melinjo crackers),13,345,12,1.5,71.5,-,28,100,400,5,-,-,-,-,-,-,-,0.2,-,-,-,100,Processed,Beans
Coming chips,14.2,355,17.8,4.6,60.7,-,2.7,87,304,4.3,24,"1,233.00",1,2.3,-,-,-,-,-,0.6,-,100,Processed,Beans
Hello kity enting-enting beaten,2.4,538,13.6,30.3,52.6,0.2,1,81,248,1.6,-,-,-,-,-,-,202,1,-,-,-,100,Processed,Beans
Peanut enting-enting beaten,4.2,524,13.3,29.2,52,0.2,1.4,76,248,1.4,-,-,-,-,-,-,272,0.62,-,-,-,100,Processed,Beans
Enting-enting sesame,3.7,565,18.2,38.4,36.8,1.9,3,251,502,10.9,-,-,-,-,-,-,240,0.92,-,-,-,100,Processed,Beans
Geplak,29.6,350,1.4,14.4,53.6,1.8,1,151,43,2.1,-,-,-,-,-,-,120,0.12,0.02,0.8,-,100,Processed,Beans
Geplak ginger,12.4,462,3.1,24.4,57.7,3.3,2.5,212,161,6.6,-,-,-,-,-,-,272,0.12,-,0.1,-,100,Processed,Beans
Atomic Beans,3.1,533,27.8,38.1,28.8,2.5,2.2,87,423,3,-,-,-,-,-,-,-,0.06,-,-,-,100,Processed,Beans
Shake beans,8.3,516,14.7,31.1,44.4,-,1.5,34,230,0.7,2,365,0.6,1.7,-,-,-,-,-,-,-,100,Processed,Beans
Negara beans,3.1,480,18.4,19.1,58.5,11.7,0.9,34,404,10.3,"1,010",385,2.5,7.1,-,-,-,0.63,0.05,2.6,-,100,Processed,Beans
Sukro beans,4.7,484,8.8,26.1,57.7,1.8,2.7,49,194,2.5,-,-,-,-,-,-,-,0.06,-,-,-,100,Processed,Beans
Sari Peanut,2.1,561,25.5,43.8,26,2.2,2.6,50,324,3.1,-,-,-,-,-,-,-,0.08,-,-,-,100,Processed,Beans
Peanut Cheese (Peanut Butter),3,590,27,49,20.9,1.6,0.1,60,360,2,355,492.4,0.57,2.7,-,-,-,0.3,0.2,16.2,-,100,Processed,Beans
Tofu flowers,10.8,380,48.9,13.8,23.3,-,3.2,378,781,2.1,55,455.3,0.68,4.2,-,-,-,0.15,0.08,0.7,-,100,Processed,Beans
"Tofu flowers, boiled",79.8,90,10.7,4,4.7,-,0.8,85,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Processed,Beans
Oncom chips,3,598,8.3,43.8,42.6,3.3,2.2,85,153,27,-,-,-,-,-,-,"1,608",1.13,-,-,-,100,Processed,Beans
Tempe chips,3.3,581,12.1,40.6,41.7,2.2,2.3,237,116,6.9,-,-,-,-,-,-,320,0.35,-,-,-,100,Processed,Beans
Abadi tempe chips big,4.5,556,15.8,37.1,39.8,3.5,2.8,112,215,5.4,-,-,-,-,-,-,-,0.63,-,-,-,100,Processed,Beans
Abadi tempe chips pure,3.2,542,40.3,42.4,11.6,2.2,2.7,175,529,5.2,-,-,-,-,-,-,50,0.1,-,-,-,100,Processed,Beans
Abadi tempe chips intermediate,4.4,510,12.3,27.9,52.4,3.6,3.1,122,211,8.4,-,-,-,-,-,-,-,0.52,-,-,-,100,Processed,Beans
Abadi tempe chips egg,4.5,529,20.8,31.7,40.2,3,2.9,124,222,5.4,-,-,-,-,-,-,-,0.86,-,-,-,100,Processed,Beans
Abadi tempe chips prime,4.8,540,16.7,33.9,42,2.2,2.6,92,184,3.2,-,-,-,-,-,-,"1,080",0.38,-,-,-,100,Processed,Beans
Kwaci,9.9,515,30.6,42.1,13.8,13.6,3.7,54,312,6.2,124,448.6,0.65,9.7,-,-,-,0.02,0.19,0.3,-,35,Processed,Beans
Melinjo thick fried sweet chips,5.6,439,10,16.4,65.7,-,2.3,66,225,-,-,-,-,-,-,-,-,0.1,-,-,-,100,Processed,Beans
"Melinjo thick chips, fried salted",8,431,11.1,16.2,63,-,1.6,77,-,-,-,-,-,-,-,-,-,0.08,-,-,-,100,Processed,Beans
Melinjo thin fried chips,3.3,485,11.5,24.5,59.1,-,1.5,85,218,-,-,-,-,-,-,-,-,0.11,-,-,-,100,Processed,Beans
Moon tofu,79.9,128,8,10,1.3,0.2,0.8,205,92,2.5,393,-,-,-,131,-,"5,300",0.46,-,-,-,100,Processed,Beans
Oncom,57,187,13,6,22.6,-,1.4,96,115,27,-,-,-,-,-,-,-,0.09,-,1.6,-,100,Processed,Beans
Green bean pulp oncom,13.4,376,14.9,6,65.7,12.3,1.7,199,110,10.9,-,-,-,-,-,-,-,0.03,-,-,-,100,Processed,Beans
Green beans oncom + cassava,16.5,351,11,5.3,65.9,9,1.3,164,113,7.8,-,-,-,-,-,-,-,0.01,-,-,-,100,Processed,Beans
Peanuts Oncom pepes,65,132,12.7,3.8,13.7,3.1,4.8,133,355,34.4,-,-,-,-,-,-,10,0.08,0.2,0.7,-,100,Processed,Beans
Peanut brittle,3.9,513,17.5,32.5,44.3,1.7,1.8,65,202,2.6,-,-,-,-,-,-,-,0.1,-,-,-,100,Processed,Beans
Tolo peanut brittle,6.1,451,11.2,20.2,59.7,1.8,2.8,156,221,4.6,-,-,-,-,-,-,-,0.02,-,-,-,100,Processed,Beans
Uci peanut brittle,4,497,17,27.6,50.8,2.4,3.4,166,89,6.7,-,-,-,-,-,-,-,0.05,-,-,-,100,Processed,Beans
Lebui soup,83.9,64,2.1,0.6,12.5,5.7,0.9,21,2,1,124,146,0.2,0.7,-,14,-,-,-,0.1,-,100,Processed,Beans
"Saridele, powder",3,344,30,20,43,6.2,4,450,500,4,56,"2,572.30",2.99,4,-,-,"2,000",0.7,0.16,2,10,100,Processed,Beans
Soy milk,87,41,3.5,2.5,5,0.2,2,50,45,0.7,128,287.9,0.12,1,-,-,200,0.08,0.05,0.7,2,100,Processed,Beans
"Tofu, raw",82.2,80,10.9,4.7,0.8,0.1,1.4,223,183,3.4,2,50.6,0.19,0.8,-,118,-,0.01,0.08,0.1,-,100,Processed,Beans
Fried tofu,77.3,115,9.7,8.5,2.5,0.1,2,229,200,4.1,7,68.2,0.09,1.3,-,-,-,0.01,0.24,-,-,100,Processed,Beans
Egg tofu,41.8,328,12.6,19.9,24.6,0.4,1.1,492,238,4.9,755,-,-,-,73,-,"1,860",0.42,-,-,-,100,Processed,Beans
Takwa,72.2,148,13.8,8.5,4,-,1.6,140,214,8.5,3,79,0.3,1.3,-,-,920,0.2,0.1,0.8,-,100,Processed,Beans
Tauco,54,184,11.4,5.5,22.2,1.9,6.9,72,463,6,"1,766",233,0.39,1,-,-,664,0.32,0.2,0.8,-,100,Processed,Beans
"Tauco bear stamp, cake",11.4,347,7.4,5.2,67.6,3.2,8.4,63,106,6.2,-,-,-,-,-,-,936,0.35,-,-,-,100,Processed,Beans
"Tauco DAS stamp, cake",10.2,358,7.5,4.3,70.4,3.1,7.6,94,94,4.5,-,-,-,-,-,-,504,0.29,-,-,-,100,Processed,Beans
Tauco Meow stamp,59.7,159,7.4,4.9,21.3,1.6,6.7,183,84,10.1,"1,547",204.1,0.34,0.9,-,-,472,0.46,0.18,0.7,-,100,Processed,Beans
Tauji Lion stamp,30.4,277,9.1,4.7,49.6,1.2,6.2,68,106,3,-,-,-,-,-,-,936,0.15,-,-,-,100,Processed,Beans
Bongkrek tempeh,72.5,119,4.4,3.5,18.3,-,146.3,27,100,2.6,-,-,-,-,-,-,-,0.08,-,-,-,100,Processed,Beans
P3G gembus tempeh,81.9,73,5.7,1.3,10.3,4.2,0.8,204,80,1.5,-,-,-,-,-,-,22,0.09,0.1,0.9,-,100,Processed,Beans
Yogya gembus tempeh,80.7,76,6.8,0.7,10.6,5.3,1.1,76,142,16.5,-,-,-,-,-,-,-,0.79,0.01,0.1,-,100,Processed,Beans
Pork beans tempeh,64,139,12.5,0.8,21.9,1.8,1.2,68,182,2.6,-,-,-,-,-,-,20,0.1,-,-,-,100,Processed,Beans
Winged bean tempeh (starfruit bean),58.2,212,17.5,10,12.9,2.9,1.4,186,160,2.2,-,-,-,-,-,-,-,0.2,-,-,-,100,Processed,Beans
Soy tempeh + corn,70.6,143,12,5.5,11.4,1.9,0.6,155,156,6.8,-,-,-,-,-,-,"1,320",0.33,0.15,1.2,-,100,Processed,Beans
"Pure soybean tempeh, fried",36.8,350,24.5,26.6,10.4,4.2,1.8,202,296,4.9,22,626.7,0.8,2.5,-,-,78,0.24,0.6,3.3,-,100,Processed,Beans
"Pure soybean tempeh, raw",55.3,201,20.8,8.8,13.5,1.4,1.6,155,326,4,9,234,0.57,1.7,-,-,-,0.19,0.59,4.9,-,100,Processed,Beans
Koro benguk tempeh,64,141,10.2,1.3,23.2,-,1.3,42,15,2.6,-,-,-,-,-,-,-,0.09,-,-,-,100,Processed,Beans
White Leadtree Tempeh,66.8,128,10.7,0.5,21.3,7.1,0.7,203,108,0.6,-,-,-,-,-,-,121,0.17,-,-,2,100,Processed,Beans
Agung White Leadtree Tempeh with skin,65.1,146,11.7,2.3,19.6,7.6,1.3,128,41,6.8,-,-,-,-,-,-,"1,370",0.19,-,1.4,-,100,Processed,Beans
Agung White Leadtree Tempeh without skin,67.1,131,18,0.8,13,1.3,1.1,95,154,12.4,-,-,-,-,-,-,"5,900",0.2,0.02,2.6,-,100,Processed,Beans
Market Tempe,68.3,150,14,7.7,9.1,1.4,0.9,517,202,1.5,7,165.9,0.4,1.2,-,-,-,0.17,0.44,3.6,-,100,Processed,Beans
Fried market tempeh,42.9,336,20,28,7.8,3.4,1.3,156,350,3,20,566.2,0.8,2.2,-,-,10,0.1,0.5,3,-,100,Processed,Beans
Hunkwe flour (green bean starch),10,364,4.5,1,83.5,16.1,1,50,100,1,15,"1,232.90",0.93,2.7,-,-,-,-,0.23,2.2,-,100,Processed,Beans
Jalejo Flour,10,388,19,7.5,61.2,5.8,2.3,101,663,2,3,712,0.6,1.9,-,"1,000",0.1,0.02,0.7,1.6,9,100,Processed,Beans
Soybean flour,9,347,35.9,20.6,29.9,5.8,4,195,544,8.4,52,"2,522.60","4,303.45",2.6,-,-,140,0.77,0.32,2.1,-,100,Processed,Beans
"Arabic beans (Chick pea), dried",11.6,330,23.8,1.4,60.2,17.4,3,57,388,4.7,24,874.3,0.85,3.4,-,40,140,0.77,0.21,1.5,2,100,Single,Beans
"Broad bean, raw",11.6,341,30.4,3.2,51.3,4.5,3.5,178,521,6.8,13,"1,768.00",0.82,3.1,-,-,87,0.23,0.33,2.8,-,80,Single,Beans
"Winged bean, seed, dried",10.4,400,34.4,16.9,34.1,10.7,4.2,468,182,6.8,37,955,2.82,2,-,-,-,0.3,0.44,3,-,100,Single,Beans
"Poisonous beans, fresh",72.1,118,4.4,1.5,21.6,-,0.4,50,50,1.7,10,40,0.3,1,-,-,-,0.43,-,-,-,-,Single,Beans
